napcs_code,bea_2017_commodity,weight,resolution,napcs_description
2001800021,311300,1.0,NAICS_2012_Code,"Manufacturing of all other beet sugar pulp, including raw beet sugar, dried, and other beet pulp (plain)"
2001825000,311210,1.0,NAICS_2012_Code,Manufacturing of wheat flour (excluding flour mixes)
2001835000,311210,1.0,NAICS_2012_Code,"Manufacturing of wheat mill products, excluding flour and feed"
2001850000,311210,1.0,NAICS_2012_Code,"Manufacturing of milled rice (including second heads, screenings, brewers, bran, sharps, rice flour, residues, and byproducts)"
2001875000,311210,1.0,NAICS_2012_Code,"Manufacturing of corn mill products, for human consumption"
2001875003,311210,1.0,NAICS_2012_Code,"Manufacturing of corn grits and flakes for brewers' use, for human consumption"
2001875006,311210,1.0,NAICS_2012_Code,"Manufacturing of corn grits and hominy (excluding for brewers' use), for human consumption, and corn flour"
2001875009,311210,1.0,NAICS_2012_Code,"Manufacturing of other corn mill products, for human consumption"
2001875012,311210,1.0,NAICS_2012_Code,"Manufacturing of whole and degermed cornmeal, for human consumption"
2001900000,311210,1.0,NAICS_2012_Code,Manufacturing of other grain mill flour products
2001900003,311210,1.0,NAICS_2012_Code,"Manufacturing of rye, oat, buckwheat, and other flour"
2001900006,311210,1.0,NAICS_2012_Code,Manufacturing of fruit flour
2001925000,311221,1.0,NAICS_2012_Code,Manufacturing of corn sweeteners
2001950000,311221,1.0,NAICS_2012_Code,"Manufacturing of starch, including unmodified and modified corn, potato, rice, and wheat starch and dextrin"
2001975000,311221,1.0,NAICS_2012_Code,Manufacturing of wet process corn byproducts
