code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
4004505000,4004375000,B,B,False,Wholesale sales of farm machinery parts and supplies,Wholesale sales of farm machinery parts and supplies
4004510000,4004400000,B,B,False,"Wholesale sales of construction, forestry, and mining machinery parts and supplies","Wholesale sales of construction, forestry, and mining machinery parts and supplies"
4004515000,4004425000,B,B,False,Wholesale sales of oil well and pipeline machinery parts and supplies,Wholesale sales of oil well and pipeline machinery parts and supplies
4004520000,4004450000,B,B,False,Wholesale sales of industrial engines,Wholesale sales of industrial engines
4004520003,4004450003,D,D,False,"Wholesale sales of new diesel engines, except automotive engines","Wholesale sales of new diesel engines, except automotive engines"
4004520006,4004450006,D,D,False,"Wholesale sales of gasoline engines, motor parts, except electric motors, and engine electrical equipment, except auto and aircraft","Wholesale sales of gasoline engines, motor parts, except electric motors, and engine electrical equipment, except auto and aircraft"
4004525000,4004525000,B,B,False,"Wholesale sales of materials, supplies, and parts for electronic and electrical equipment, appliances, and component manufacturing, including semiconductors and capacitors","Wholesale sales of materials and supplies for electronic and electrical equipment, appliances, and component manufacturing"
4004525003,4004525003,D,D,False,Wholesale sales of integrated circuits,Wholesale sales of integrated circuits
4004525006,4004525006,D,D,False,Wholesale sales of capacitors and resistors,Wholesale sales of capacitors and resistors
4004525009,4004525009,D,D,False,Wholesale sales of semiconductors,Wholesale sales of semiconductors
4004525012,4004525012,D,D,False,Wholesale sales of electronic connectors and other passive electronic parts,Wholesale sales of electronic connectors and other passive electronic parts
4004525015,4004525015,D,D,False,Wholesale sales of other electronic parts and supplies,Wholesale sales of other electronic parts and supplies
4004525018,4004525018,D,D,False,Wholesale sales of industrial controls,Wholesale sales of industrial controls
4004550000,4004550000,B,B,False,"Wholesale sales of farm supplies, including agricultural chemicals, feed, and fertilizers","Wholesale sales of farm supplies, including agricultural chemicals, feed, and fertilizers"
4004550003,4004550003,D,D,False,Wholesale sales of hay and straw,Wholesale sales of hay and straw
4004550006,4004550006,D,D,False,"Wholesale sales of poultry and livestock feeds, including silage","Wholesale sales of poultry and livestock feeds, including silage"
4004550009,4004550009,D,D,False,"Wholesale sales of herbicides, soil sterilizers, and soil conditioners","Wholesale sales of herbicides, soil sterilizers, and soil conditioners"
4004550012,4004550012,D,D,False,"Wholesale sales of insecticides, fungicides, and pesticides","Wholesale sales of insecticides, fungicides, and pesticides"
4004550015,4004550015,D,D,False,Wholesale sales of other agricultural chemicals and fertilizers,Wholesale sales of other agricultural chemicals and fertilizers
4004550018,4004550018,D,D,False,Wholesale sales of seeds and bulbs for planting,Wholesale sales of seeds and bulbs for planting
4004550021,4004550021,D,D,False,Wholesale sales of other farm supplies,Wholesale sales of other farm supplies
4004575000,4004575000,B,B,False,"Wholesale sales of inedible farm products, including feathers",Wholesale sales of inedible farm products
4004600000,4004600000,B,B,False,Wholesale sales of nonagricultural insecticides,Wholesale sales of nonagricultural insecticides
4004625000,4004625000,B,B,False,"Wholesale sales of textile bags, bagging and burlap","Wholesale sales of textile bags, bagging and burlap"
4004650000,4004650000,B,B,False,Wholesale sales of metal structural products,Wholesale sales of metal structural products
4004650003,4004650003,D,D,False,Wholesale sales of galvanized and coated iron and steel sheets,Wholesale sales of galvanized and coated iron and steel sheets
4004650006,4004650006,D,D,False,Wholesale sales of fabricated and structural iron and steel plate products,Wholesale sales of fabricated and structural iron and steel plate products
4004650009,4004650009,D,D,False,Wholesale sales of concrete reinforcement bars,Wholesale sales of concrete reinforcement bars
4004650012,4004650012,D,D,False,"Wholesale sales of rolled or extruded aluminum rods, bars, and wires, including rounds, hexes, squares, and rectangles","Wholesale sales of rolled or extruded aluminum rods, bars, and wires, including rounds, hexes, squares, and rectangles"
4004650015,4004650015,D,D,False,Wholesale sales of other structural metal products,Wholesale sales of other structural metal products
4004660000,4004660000,B,B,False,Wholesale sales of chemically blown closed cell rubber sponge,Wholesale sales of chemically blown closed cell rubber sponge
