direction,commodity,candidate_usd,reference_usd,status
imports,325180,9304164826.0,8768000000.0,2
imports,325190,38074953000.0,31079000000.0,2
imports,325211,14184010104.0,14219000000.0,1
imports,3252A0,5407620218.0,4464000000.0,2
imports,325411,9933831403.0,93000000.0,2
imports,325412,72562293535.0,90937000000.0,2
imports,325413,4468284373.0,37000000.0,2
imports,325414,26315417799.0,51322000000.0,2
imports,325310,7389941241.0,6669000000.0,2
imports,325320,1178859360.0,1721000000.0,2
imports,325510,1133479657.0,1211000000.0,2
imports,325520,875629307.0,673000000.0,2
imports,325610,3602155084.0,3293000000.0,2
imports,325620,9207908628.0,8145000000.0,2
imports,325910,8802322181.0,160000000.0,2
imports,3259A0,5797959755.0,5615000000.0,2
imports,326110,9889218708.0,4612000000.0,2
